sample_id,template_id,user_input,intent_label,source,split
INT001,investigate_t0,检查案发现场的门锁边缘的刮痕，看看是否有可疑痕迹,investigate,synthetic,
INT002,investigate_t1,调取地下停车场附近的走廊里的脚印并核对时间线,investigate,synthetic,
INT003,investigate_t2,查看车牌记录上的手机最后一次通话记录是否与前后证词一致,investigate,synthetic,
INT004,investigate_t3,勘察公寓楼道，重点关注监控画面中的反光衣角,investigate,synthetic,
INT005,investigate_t4,搜查商场监控室内的行车记录仪，寻找地面残留的泥点,investigate,synthetic,
INT006,investigate_t0,检查医院走廊的桌面上未喝完的咖啡杯，看看是否有可疑痕迹,investigate,synthetic,
INT007,investigate_t1,调取河边码头附近的窗台上的纤维碎屑并核对时间线,investigate,synthetic,
INT008,investigate_t2,查看手提袋上的嫌疑人衣袖上的灰尘是否与前后证词一致,investigate,synthetic,
INT009,investigate_t3,勘察案发现场，重点关注门锁边缘的刮痕,investigate,synthetic,
INT010,investigate_t4,搜查地下停车场内的钥匙串，寻找走廊里的脚印,investigate,synthetic,
INT011,investigate_t0,检查旧仓库的手机最后一次通话记录，看看是否有可疑痕迹,investigate,synthetic,
INT012,investigate_t1,调取公寓楼道附近的监控画面中的反光衣角并核对时间线,investigate,synthetic,
INT013,investigate_t2,查看行车记录仪上的地面残留的泥点是否与前后证词一致,investigate,synthetic,
INT014,investigate_t3,勘察医院走廊，重点关注桌面上未喝完的咖啡杯,investigate,synthetic,
INT015,investigate_t4,搜查河边码头内的药盒，寻找窗台上的纤维碎屑,investigate,synthetic,
INT016,investigate_t0,检查居民楼顶层的嫌疑人衣袖上的灰尘，看看是否有可疑痕迹,investigate,synthetic,
INT017,investigate_t1,调取案发现场附近的门锁边缘的刮痕并核对时间线,investigate,synthetic,
INT018,investigate_t2,查看钥匙串上的走廊里的脚印是否与前后证词一致,investigate,synthetic,
INT019,investigate_t3,勘察旧仓库，重点关注手机最后一次通话记录,investigate,synthetic,
INT020,investigate_t4,搜查公寓楼道内的通话清单，寻找监控画面中的反光衣角,investigate,synthetic,
INT021,investigate_t0,检查商场监控室的地面残留的泥点，看看是否有可疑痕迹,investigate,synthetic,
INT022,investigate_t1,调取医院走廊附近的桌面上未喝完的咖啡杯并核对时间线,investigate,synthetic,
INT023,investigate_t2,查看药盒上的窗台上的纤维碎屑是否与前后证词一致,investigate,synthetic,
INT024,investigate_t3,勘察居民楼顶层，重点关注嫌疑人衣袖上的灰尘,investigate,synthetic,
INT025,investigate_t4,搜查案发现场内的手机，寻找门锁边缘的刮痕,investigate,synthetic,
INT026,investigate_t0,检查地下停车场的走廊里的脚印，看看是否有可疑痕迹,investigate,synthetic,
INT027,investigate_t1,调取旧仓库附近的手机最后一次通话记录并核对时间线,investigate,synthetic,
INT028,investigate_t2,查看通话清单上的监控画面中的反光衣角是否与前后证词一致,investigate,synthetic,
INT029,investigate_t3,勘察商场监控室，重点关注地面残留的泥点,investigate,synthetic,
INT030,investigate_t4,搜查医院走廊内的纸质笔录，寻找桌面上未喝完的咖啡杯,investigate,synthetic,
INT031,investigate_t0,检查河边码头的窗台上的纤维碎屑，看看是否有可疑痕迹,investigate,synthetic,
INT032,investigate_t1,调取居民楼顶层附近的嫌疑人衣袖上的灰尘并核对时间线,investigate,synthetic,
INT033,investigate_t2,查看手机上的门锁边缘的刮痕是否与前后证词一致,investigate,synthetic,
INT034,investigate_t3,勘察地下停车场，重点关注走廊里的脚印,investigate,synthetic,
INT035,investigate_t4,搜查旧仓库内的车牌记录，寻找手机最后一次通话记录,investigate,synthetic,
INT036,investigate_t0,检查公寓楼道的监控画面中的反光衣角，看看是否有可疑痕迹,investigate,synthetic,
INT037,investigate_t1,调取商场监控室附近的地面残留的泥点并核对时间线,investigate,synthetic,
INT038,investigate_t2,查看纸质笔录上的桌面上未喝完的咖啡杯是否与前后证词一致,investigate,synthetic,
INT039,investigate_t3,勘察河边码头，重点关注窗台上的纤维碎屑,investigate,synthetic,
INT040,investigate_t4,搜查居民楼顶层内的手提袋，寻找嫌疑人衣袖上的灰尘,investigate,synthetic,
INT041,investigate_t0,检查案发现场的门锁边缘的刮痕，看看是否有可疑痕迹,investigate,synthetic,
INT042,investigate_t1,调取地下停车场附近的走廊里的脚印并核对时间线,investigate,synthetic,
INT043,investigate_t2,查看车牌记录上的手机最后一次通话记录是否与前后证词一致,investigate,synthetic,
INT044,investigate_t3,勘察公寓楼道，重点关注监控画面中的反光衣角,investigate,synthetic,
INT045,investigate_t4,搜查商场监控室内的行车记录仪，寻找地面残留的泥点,investigate,synthetic,
INT046,investigate_t0,检查医院走廊的桌面上未喝完的咖啡杯，看看是否有可疑痕迹,investigate,synthetic,
INT047,investigate_t1,调取河边码头附近的窗台上的纤维碎屑并核对时间线,investigate,synthetic,
INT048,investigate_t2,查看手提袋上的嫌疑人衣袖上的灰尘是否与前后证词一致,investigate,synthetic,
INT049,investigate_t3,勘察案发现场，重点关注门锁边缘的刮痕,investigate,synthetic,
INT050,investigate_t4,搜查地下停车场内的钥匙串，寻找走廊里的脚印,investigate,synthetic,
INT051,investigate_t0,检查旧仓库的手机最后一次通话记录，看看是否有可疑痕迹,investigate,synthetic,
INT052,investigate_t1,调取公寓楼道附近的监控画面中的反光衣角并核对时间线,investigate,synthetic,
INT053,investigate_t2,查看行车记录仪上的地面残留的泥点是否与前后证词一致,investigate,synthetic,
INT054,investigate_t3,勘察医院走廊，重点关注桌面上未喝完的咖啡杯,investigate,synthetic,
INT055,investigate_t4,搜查河边码头内的药盒，寻找窗台上的纤维碎屑,investigate,synthetic,
INT056,investigate_t0,检查居民楼顶层的嫌疑人衣袖上的灰尘，看看是否有可疑痕迹,investigate,synthetic,
